,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2019-11-05-20-abilene-christian,25.0,3,6.3,3,115.4,69.2,27,0.286,49,0.245,12,0.367,18,0.611,11,0,200,50.0,18.9,7,17,39,,3.8,3,0.429,21,0.19,4,44.7,34,0.339,33.0,28,28,0.286,8,0.0,0,"November 5, 2019",55.6,20,7.1,2,50.0,81.1,30,0.52,75,0.48,36,0.227,17,0.706,12,0,200,115.4,30.8,12,21,90,,20.5,16,0.36,27,0.222,6,55.3,42,0.542,7.8,7,48,0.625,30,1.0,1,"Moody Coliseum , Abilene, Texas","Arlington Baptist
			","Arlington Baptist
			",78.3,Home,ABILENE-CHRISTIAN,Abilene Christian
2019-11-10-14-drexel,43.3,13,6.3,2,107.5,65.2,15,0.531,65,0.462,30,0.308,20,0.7,14,1,225,103.8,8.8,3,26,83,,15.0,12,0.385,25,0.36,9,31.6,18,0.557,9.8,8,40,0.525,21,0.5,1,"November 10, 2019",55.6,15,12.5,5,103.8,91.2,31,0.596,52,0.519,27,0.615,32,0.75,24,1,225,107.5,34.8,8,17,86,,5.0,4,0.385,20,0.4,8,68.4,39,0.64,25.0,22,32,0.594,19,0.667,2,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",ABILENE-CHRISTIAN,Abilene Christian,71.4,Home,DREXEL,Drexel
2019-11-16-20-abilene-christian,39.1,9,3.1,1,94.5,70.0,21,0.52,51,0.451,23,0.451,23,0.87,20,1,200,100.0,18.5,5,22,73,,12.3,9,0.412,21,0.333,7,45.6,26,0.589,21.8,17,30,0.533,16,0.75,3,"November 16, 2019",45.0,9,0.0,0,100.0,81.5,22,0.45,50,0.4,20,0.66,33,0.727,24,2,200,94.5,30.0,9,20,69,,13.7,10,0.36,18,0.278,5,54.4,31,0.525,18.9,15,32,0.469,15,0.333,1,"Moody Coliseum , Abilene, Texas",ABILENE-CHRISTIAN,Abilene Christian,72.8,Away,PEPPERDINE,Pepperdine
2019-11-18-22-nevada-las-vegas,72.7,16,3.6,1,112.5,69.6,16,0.432,59,0.373,22,0.153,9,0.778,7,3,200,90.6,29.0,9,17,58,,9.4,6,0.441,26,0.269,7,46.3,25,0.458,14.9,11,33,0.455,15,0.25,1,"November 18, 2019",51.9,14,12.1,4,90.6,71.0,22,0.6,50,0.54,27,0.3,15,0.8,12,3,200,112.5,30.4,7,13,72,,6.3,4,0.44,22,0.273,6,53.7,29,0.63,17.5,12,28,0.75,21,0.4,2,"Thomas & Mack Center, Las Vegas, Nevada",ABILENE-CHRISTIAN,Abilene Christian,63.7,Home,NEVADA-LAS-VEGAS,UNLV
2019-11-21-12-abilene-christian,43.8,7,2.4,1,121.6,55.6,20,0.433,45,0.356,16,0.467,21,0.905,19,0,200,78.4,17.2,5,23,58,,9.5,7,0.356,16,0.438,7,38.5,25,0.528,29.8,23,29,0.31,9,0.0,0,"November 21, 2019",66.7,22,10.3,3,78.4,82.8,24,0.545,67,0.493,33,0.343,23,0.739,17,3,200,121.6,44.4,16,17,90,,8.1,6,0.373,25,0.28,7,61.5,40,0.577,14.4,13,42,0.619,26,0.4,2,"Moody Coliseum , Abilene, Texas","Champion Baptist
			","Champion Baptist
			",74.0,Home,ABILENE-CHRISTIAN,Abilene Christian
2019-11-25-20-texas-state,36.8,7,14.3,5,89.7,81.5,22,0.384,56,0.339,19,0.304,17,0.765,13,4,200,82.4,32.4,11,20,56,,7.4,5,0.232,13,0.385,5,54.1,33,0.437,20.1,16,43,0.326,14,0.333,2,"November 25, 2019",50.0,12,11.6,5,82.4,67.6,23,0.53,50,0.48,24,0.34,17,0.471,8,2,200,89.7,18.5,5,14,61,,13.2,9,0.3,15,0.333,5,45.9,28,0.525,18.4,13,35,0.543,19,0.714,5,"Strahan Coliseum, San Marcos, Texas",ABILENE-CHRISTIAN,Abilene Christian,67.6,Home,TEXAS-STATE,Texas State
2019-11-29-20-southern-methodist,47.1,8,0.0,0,116.7,77.8,14,0.375,52,0.327,17,0.288,15,0.8,12,5,200,85.0,20.6,7,16,51,,11.7,7,0.365,19,0.263,5,40.4,21,0.431,13.3,9,33,0.364,12,0.286,2,"November 29, 2019",57.7,15,15.2,5,85.0,79.4,27,0.702,42,0.619,26,0.333,14,0.786,11,0,200,116.7,22.2,4,16,70,,11.7,7,0.405,17,0.412,7,59.6,31,0.719,22.5,14,25,0.76,19,1.0,7,"Moody Coliseum, Dallas, Texas",ABILENE-CHRISTIAN,Abilene Christian,59.9,Home,SOUTHERN-METHODIST,SMU
2019-12-05-20-abilene-christian,31.6,6,8.1,3,98.6,76.7,23,0.37,54,0.352,19,0.519,28,0.857,24,5,200,86.5,20.0,7,19,64,,9.5,7,0.241,13,0.154,2,46.2,30,0.475,16.4,13,41,0.415,17,0.375,3,"December 5, 2019",47.8,11,4.9,2,86.5,80.0,28,0.455,56,0.411,23,0.482,27,0.815,22,5,200,98.6,23.3,7,20,73,,10.8,8,0.339,19,0.263,5,53.8,35,0.53,16.1,13,37,0.486,18,0.375,3,"Moody Coliseum , Abilene, Texas",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,74.1,Home,ABILENE-CHRISTIAN,Abilene Christian
2019-12-07-20-abilene-christian,25.0,3,0.0,0,132.5,55.6,20,0.26,50,0.24,12,0.3,15,0.533,8,0,200,44.2,18.4,7,15,34,,3.9,3,0.3,15,0.133,2,36.5,27,0.298,30.6,25,35,0.286,10,0.0,0,"December 7, 2019",62.8,27,5.7,2,44.2,81.6,31,0.582,79,0.544,43,0.203,16,0.625,10,5,200,132.5,44.4,16,17,102,,11.7,9,0.342,27,0.222,6,63.5,47,0.589,9.5,9,52,0.712,37,0.444,4,"Moody Coliseum , Abilene, Texas","Dallas Christian
			","Dallas Christian
			",77.4,Home,ABILENE-CHRISTIAN,Abilene Christian
2019-12-12-19-abilene-christian,33.3,4,5.4,2,138.2,50.0,21,0.333,42,0.286,12,0.214,9,0.889,8,0,200,47.4,13.3,4,18,36,,5.3,4,0.524,22,0.182,4,34.7,25,0.389,43.2,35,20,0.4,8,0.0,0,"December 12, 2019",65.8,25,10.0,2,47.4,86.7,26,0.583,78,0.487,38,0.218,17,0.824,14,5,200,138.2,50.0,21,13,105,,25.0,19,0.526,41,0.366,15,65.3,47,0.61,10.5,10,37,0.622,23,0.5,5,"Moody Coliseum , Abilene, Texas","Howard Payne
			","Howard Payne
			",76.2,Home,ABILENE-CHRISTIAN,Abilene Christian
